{{Mod
|id                               = SynthesisImplicitAvoidFreezeJewel1
|mod_groups                       = AvoidFreeze
|domain                           = 1
|generation_type                  = 3
|required_level                   = 1
|mod_type                         = AvoidFreeze
|stat_text                        = (8-10)% chance to Avoid being [[Freeze|Frozen]]
|stat1_id                         = base_avoid_freeze_%
|stat1_min                        = 8
|stat1_max                        = 10
|tags                             = elemental, cold, ailment
|sell_price1_name                 = Alchemy Shard
|sell_price1_amount               = 2
}}
