{{Mod
|id                               = VitalityLifeRecoveryFromFlasks_
|domain                           = 1
|generation_type                  = 3
|required_level                   = 1
|mod_groups                       = AuraBonus
|mod_type                         = VitalityLifeRecoveryFromFlasks
|game_mode                        = 0
|stat_text                        = (50-70)% increased [[Life]] Recovery from [[Flask|Flasks]] while affected by [[Vitality]]
|stat1_id                         = flask_life_recovery_+%_while_affected_by_vitality
|stat1_min                        = 50
|stat1_max                        = 70
|tags                             = flask, resource, life
|sell_price1_name                 = Alchemy Shard
|sell_price1_amount               = 6
}}
