{{Passive skill
|id                                  = affliction_notable_hulking_corpses
|int_id                              = 68
|name                                = Hulking Corpses
|is_notable                          = True
|icon                                = IncreaseMinionLifeNotable
|stat1_id                            = minion_maximum_life_+%
|stat1_value                         = 25
|stat2_id                            = raised_zombie_%_chance_to_taunt
|stat2_value                         = 5
|stat_text                           = [[Minion|Minions]] have 25% increased maximum [[Life]]<br>Raised Zombies have 5% chance to Taunt Enemies on [[Hit]]
}}
