{{Mod
|id                               = HellscapeUpsideChanceToAvoidShock4_
|mod_groups                       = AvoidShock
|domain                           = 1
|generation_type                  = 24
|required_level                   = 68
|mod_type                         = AvoidShock
|stat_text                        = (36-40)% chance to Avoid being [[Shock|Shocked]]
|stat1_id                         = base_avoid_shock_%
|stat1_min                        = 36
|stat1_max                        = 40
|spawn_weight1_tag                = ring
|spawn_weight1_value              = 500
|spawn_weight2_tag                = default
|spawn_weight2_value              = 0
|tags                             = elemental, lightning, ailment
|sell_price1_name                 = Alchemy Shard
|sell_price1_amount               = 2
}}
