{{Mod
|id                               = MapTotemsCrafted
|mod_groups                       = MapTotems
|domain                           = 5
|generation_type                  = 3
|mod_type                         = MapTotemsMap2Tier
|stat_text                        = 12% increased Quantity of Items found in this Area<br>6% increased Rarity of Items found in this Area<br>Area contains many [[Totem|Totems]]
|stat1_id                         = map_item_drop_quantity_+%
|stat1_min                        = 12
|stat1_max                        = 12
|stat2_id                         = map_item_drop_rarity_+%
|stat2_min                        = 6
|stat2_max                        = 6
|stat3_id                         = map_packs_are_totems
|stat3_min                        = 1
|stat3_max                        = 1
}}
