{{Mod
|id                               = MonsterCurseCastSpeedPenalty
|domain                           = 3
|generation_type                  = 3
|required_level                   = 1
|mod_groups                       = MonsterCurseCastSpeed
|mod_type                         = MonsterCurseCastSpeed
|game_mode                        = 0
|stat_text                        = [[Curse]] [[Skill|Skills]] have 80% reduced [[Cast Speed]] (Hidden)
|stat1_id                         = curse_cast_speed_+%
|stat1_min                        = -80
|stat1_max                        = -80
|tags                             = caster, speed, curse
}}
