{{Mod
|id                               = LeftRingMagicNoCritDamageUnique__1
|domain                           = 1
|generation_type                  = 3
|required_level                   = 1
|mod_groups                       = LeftRingMagicNoCritDamage
|mod_type                         = LeftRingMagicNoCritDamage
|game_mode                        = 0
|stat_text                        = Take no Extra Damage from [[Critical strike|Critical Strikes]] if you have a Magic Ring in left slot
|stat1_id                         = self_take_no_extra_damage_from_critical_strikes_if_left_ring_is_magic_item
|stat1_min                        = 1
|stat1_max                        = 1
|tags                             = critical
|sell_price1_name                 = Alchemy Shard
|sell_price1_amount               = 6
}}
