{{Mod
|id                               = LocalFlaskChargesUsedUniqueFlask2
|domain                           = 2
|generation_type                  = 3
|required_level                   = 1
|mod_groups                       = LocalFlaskChargesUsed
|mod_type                         = LocalFlaskChargesUsed
|game_mode                        = 0
|stat_text                        = (250-300)% increased [[Charge|Charges]] per use
|stat1_id                         = local_charges_used_+%
|stat1_min                        = 250
|stat1_max                        = 300
|tags                             = flask
|sell_price1_name                 = Alteration Shard
|sell_price1_amount               = 3
}}
