{{Mod
|id                               = WarcryAreaOfEffectInfluenceMaven
|mod_groups                       = AreaOfEffect
|domain                           = 1
|generation_type                  = 1
|required_level                   = 85
|name                             = Elevated Warlord's
|mod_type                         = WarcryAreaOfEffectMaven
|stat_text                        = Warcry [[Skill|Skills]] have (26-30)% increased Area of Effect<br>15% increased Warcry Buff Effect
|stat1_id                         = warcry_skill_area_of_effect_+%
|stat1_min                        = 26
|stat1_max                        = 30
|stat2_id                         = warcry_buff_effect_+%
|stat2_min                        = 15
|stat2_max                        = 15
|spawn_weight1_tag                = helmet_adjudicator
|spawn_weight1_value              = 0
|spawn_weight2_tag                = default
|spawn_weight2_value              = 0
|sell_price1_name                 = Alchemy Shard
|sell_price1_amount               = 2
}}
