{{Passive skill
|id                                  = attack_blind_notable2417
|int_id                              = 570
|name                                = Dazzling Strikes
|is_notable                          = True
|icon                                = AttackBlindNotable
|stat1_id                            = attacks_chance_to_blind_on_hit_%
|stat1_value                         = 20
|stat2_id                            = blind_effect_+%
|stat2_value                         = 20
|stat3_id                            = critical_strike_chance_+%_vs_blinded_enemies
|stat3_value                         = 50
|stat_text                           = 20% chance to Blind Enemies on [[Hit]] with [[Attack|Attacks]]<br>20% increased Blind Effect<br>50% increased [[Critical Strike Chance]] against Blinded Enemies
|connections                         = attack_blind2414,mastery_attack16,mastery_attack16
}}
