{{Passive skill
|id                                  = Retaliation_node_1003
|int_id                              = 62879
|name                                = Retaliation Skill Speed and Shield Spell Block
|icon                                = RetaliationNode3
|stat1_id                            = block_spells_chance_%_while_holding_shield
|stat1_value                         = 3
|stat2_id                            = retaliation_skill_speed_+%
|stat2_value                         = 6
|stat_text                           = +3% chance to [[Block]] [[Spell Damage]] while holding a [[Shield]]<br>Retaliation [[Skill|Skills]] have 6% increased Speed
|connections                         = Retaliation_node_1002,Retaliation_notable_1,Retaliation_notable_1
}}
