{{Mod
|id                               = MinionDamageOnTwoHandWeaponEssence7
|mod_groups                       = WeaponCasterDamagePrefix
|domain                           = 1
|generation_type                  = 1
|required_level                   = 82
|name                             = Essences
|mod_type                         = MinionDamageOnWeapon
|stat_text                        = [[Minion|Minions]] deal (123-144)% increased Damage
|stat1_id                         = minion_damage_+%
|stat1_min                        = 123
|stat1_max                        = 144
|spawn_weight1_tag                = default
|spawn_weight1_value              = 0
|tags                             = damage, minion
|sell_price1_name                 = Alteration Shard
|sell_price1_amount               = 3
}}
