{{Mod
|id                               = AbyssFlatMinionLifeRegenerationJewel1
|mod_groups                       = MinionLifeRegeneration
|domain                           = 13
|generation_type                  = 1
|required_level                   = 1
|name                             = Fuelling
|mod_type                         = FlatMinionLifeRegeneration
|stat_text                        = [[Minion|Minions]] Regenerate (22-30) [[Life]] per second
|stat1_id                         = minion_life_regeneration_rate_per_second
|stat1_min                        = 22
|stat1_max                        = 30
|spawn_weight1_tag                = abyss_jewel_summoner
|spawn_weight1_value              = 500
|spawn_weight2_tag                = default
|spawn_weight2_value              = 0
|tags                             = resource, life, minion
|sell_price1_name                 = Alteration Shard
|sell_price1_amount               = 1
}}
