{{Mod
|id                               = TinctureFlaskChargesGained3
|mod_groups                       = FlaskChargesFromWeaponKills
|domain                           = 34
|generation_type                  = 2
|required_level                   = 60
|name                             = of Pouring
|mod_type                         = FlaskChargesFromWeaponKills
|stat_text                        = (31-40)% increased [[Flask]] [[Charge|Charges]] gained from [[Kill|Kills]]
|stat1_id                         = flask_charges_granted_from_weapon_kills_+%
|stat1_min                        = 31
|stat1_max                        = 40
|spawn_weight1_tag                = tincture
|spawn_weight1_value              = 500
|spawn_weight2_tag                = default
|spawn_weight2_value              = 0
|sell_price1_name                 = Alteration Shard
|sell_price1_amount               = 3
}}
