{{Mod
|id                               = ReducedManaReservationsCostDelve_
|domain                           = 1
|generation_type                  = 2
|required_level                   = 60
|name                             = of the Underground
|mod_groups                       = ReducedManaReservationsCost
|mod_type                         = ReducedReservation
|game_mode                        = 0
|stat_text                        = 10% increased [[Mana Reservation]] Efficiency of [[Skill|Skills]]
|stat1_id                         = mana_reservation_efficiency_-2%_per_1
|stat1_min                        = -5
|stat1_max                        = -5
|spawn_weight1_tag                = default
|spawn_weight1_value              = 0
|tags                             = resource, mana
|sell_price1_name                 = Alchemy Shard
|sell_price1_amount               = 6
}}
