{{Base item
|rarity_id                               = normal
|name                                    = The Magma Crab
|class_id                                = DivinationCard
|size_x                                  = 1
|size_y                                  = 1
|flavour_text                            = Drink deeply of living rock and be as stone, with blood afire.
|drop_level                              = 72
|tags                                    = corrupted_divination, gems_divination, gems_levelled_divination, divination_card, default
|metadata_id                             = Metadata/Items/DivinationCards/DivinationCardTheMagmaCrab
|stack_size                              = 6
|description                             = {{c|gem|Level 21 Vaal Molten Shell}}<br>{{c|corrupted|[[Corrupted]]}}
|stack_size_currency_tab                 = 5000
|help_text                               = Shift click to unstack.
}}
