{{Mod
|id                               = BlindingHitUniqueWand1
|mod_groups                       = BlindingHit
|domain                           = 1
|generation_type                  = 3
|required_level                   = 1
|mod_type                         = BlindingHit
|stat_text                        = 10% chance to Blind Enemies on [[Hit|hit]]
|stat1_id                         = local_chance_to_blind_on_hit_%
|stat1_min                        = 10
|stat1_max                        = 10
|sell_price1_name                 = Alchemy Shard
|sell_price1_amount               = 2
}}
