{{Passive skill
|id                                  = one_handed_damage1052
|int_id                              = 42623
|name                                = One Handed Damage
|icon                                = onehandspeed
|stat1_id                            = damage_+%_with_one_handed_weapons
|stat1_value                         = 14
|stat2_id                            = one_handed_weapon_ailment_damage_+%
|stat2_value                         = 20
|stat_text                           = 14% increased Damage with One Handed Weapons<br>[[Attack|Attacks]] with One Handed Weapons deal 20% increased Damage with Ailments
|connections                         = physical_damage2100,degeneration_damage1570,physical_damage2100,repartee1051
}}
