{{Base item
|rarity_id                               = normal
|name                                    = The Offspring
|class_id                                = DivinationCard
|size_x                                  = 1
|size_y                                  = 1
|flavour_text                            = The swarm began with just a couple of children. Now, it is her entire existence.
|drop_level                              = 32
|tags                                    = jewellery_divination, unique_divination, unique_jewellery_divination, divination_card, default
|metadata_id                             = Metadata/Items/DivinationCards/DivinationCardTheOffspring
|stack_size                              = 9
|description                             = {{c|unique|{{il|html=|Ryslatha's Coil}}}}
|stack_size_currency_tab                 = 5000
|help_text                               = Shift click to unstack.
}}
