{{Mod
|id                               = IncreasedShockEffectSupportedUberMaven
|mod_groups                       = HelmetAilmentUber
|domain                           = 1
|generation_type                  = 2
|required_level                   = 90
|name                             = of Elevated Shaping
|granted_skill                    = SupportOnslaughtOnSlayingShockedEnemy
|mod_type                         = ShockEffectSupported
|stat_text                        = (17-20)% increased Effect of Lightning Ailments<br>[[Item socket|Socketed]] Gems are Supported by [[Innervate Support|Level 25 Innervate]]
|stat1_id                         = lightning_ailment_effect_+%
|stat1_min                        = 17
|stat1_max                        = 20
|stat2_id                         = local_display_socketed_gems_supported_by_x_innervate_level
|stat2_min                        = 25
|stat2_max                        = 25
|spawn_weight1_tag                = helmet_shaper
|spawn_weight1_value              = 0
|spawn_weight2_tag                = default
|spawn_weight2_value              = 0
|tags                             = support, elemental, lightning, ailment, gem
|sell_price1_name                 = Alteration Shard
|sell_price1_amount               = 5
}}
