{{Mod
|id                               = ShockOnKillUnique__1
|mod_groups                       = ChanceToShock
|domain                           = 1
|generation_type                  = 3
|required_level                   = 1
|mod_type                         = ShockOnKill
|stat_text                        = Enemies you [[Kill|kill]] are [[Shock|Shocked]]
|stat1_id                         = enemy_shock_on_kill
|stat1_min                        = 1
|stat1_max                        = 1
|tags                             = elemental, lightning, ailment
|sell_price1_name                 = Alchemy Shard
|sell_price1_amount               = 2
}}
