{{Mod
|id                               = ChanceToBeShockedUnique__2
|mod_groups                       = ChanceToBeShocked
|domain                           = 1
|generation_type                  = 3
|required_level                   = 1
|mod_type                         = ChanceToBeShocked
|stat_text                        = +50% chance to be [[Shock|Shocked]]
|stat1_id                         = chance_to_be_shocked_%
|stat1_min                        = 50
|stat1_max                        = 50
|tags                             = elemental, lightning, ailment
}}
