{{Passive skill
|id                                  = AscendancyNecromancer5
|int_id                              = 18574
|name                                = Minion Damage, Mana
|ascendancy_class                    = Necromancer
|icon                                = ManaNode (Necromancer)
|stat1_id                            = minion_damage_+%
|stat1_value                         = 10
|stat2_id                            = maximum_mana_+%
|stat2_value                         = 8
|stat_text                           = [[Minion|Minions]] deal 10% increased Damage<br>8% increased maximum [[Mana]]
|connections                         = AscendancyNecromancer11,AscendancyNecromancerStart
}}
