{{Mod
|id                               = AbyssMinionChaosResistanceJewel1
|mod_groups                       = MinionChaosResistance
|domain                           = 13
|generation_type                  = 2
|required_level                   = 1
|name                             = of Righteousness
|mod_type                         = MinionChaosResistance
|stat_text                        = [[Minion|Minions]] have +(7-11)% to [[Chaos Resistance]]
|stat1_id                         = minion_chaos_resistance_%
|stat1_min                        = 7
|stat1_max                        = 11
|spawn_weight1_tag                = abyss_jewel_summoner
|spawn_weight1_value              = 800
|spawn_weight2_tag                = default
|spawn_weight2_value              = 0
|tags                             = chaos, resistance, minion
|sell_price1_name                 = Alteration Shard
|sell_price1_amount               = 3
}}
