{{Mod
|id                               = AnimalCharmCurseEffect2
|domain                           = 35
|generation_type                  = 1
|required_level                   = 60
|name                             = Occultist's
|mod_groups                       = AnimalCharmCurseEffect
|mod_type                         = AnimalCharmCurseEffect
|game_mode                        = 0
|stat_text                        = (6-8)% increased Effect of your [[Curse|Curses]]
|stat1_id                         = curse_effect_+%
|stat1_min                        = 6
|stat1_max                        = 8
|spawn_weight1_tag                = int_animal_charm
|spawn_weight1_value              = 500
|spawn_weight2_tag                = default
|spawn_weight2_value              = 0
|sell_price1_name                 = Alchemy Shard
|sell_price1_amount               = 2
}}
