{{Passive skill
|id                                  = affliction_notable_wound_aggravation
|int_id                              = 60894
|name                                = Wound Aggravation
|is_notable                          = True
|icon                                = AxeandSwordDamage
|stat1_id                            = physical_damage_+%_with_axes_swords
|stat1_value                         = 20
|stat2_id                            = axe_or_sword_ailment_damage_+%
|stat2_value                         = 20
|stat3_id                            = physical_dot_multiplier_+_while_wielding_axes_swords
|stat3_value                         = 5
|stat_text                           = 20% increased [[Physical Damage]] with [[Axe|Axes]] or [[Sword|Swords]]<br>[[Axe]] or [[Sword]] [[Attack|Attacks]] deal 20% increased Damage with Ailments<br>+5% to [[Physical Damage]] over Time Multiplier while wielding an [[Axe]] or [[Sword]]
}}
