{{Mod
|id                               = ShockProliferationEldritchImplicit2
|mod_groups                       = ShockProliferation
|domain                           = 1
|generation_type                  = 28
|required_level                   = 75
|mod_type                         = ShockProliferation
|stat_text                        = [[Shock|Shocks]] you inflict spread to other Enemies within 1.3 metres
|stat1_id                         = gloves_shock_proliferation_radius
|stat1_min                        = 13
|stat1_max                        = 13
|spawn_weight1_tag                = no_tier_5_eldritch_implicit
|spawn_weight1_value              = 0
|spawn_weight2_tag                = gloves
|spawn_weight2_value              = 400
|spawn_weight3_tag                = default
|spawn_weight3_value              = 0
|tags                             = elemental, lightning, ailment
|sell_price1_name                 = Alchemy Shard
|sell_price1_amount               = 2
}}
