{{Mod
|id                               = ElementalPenetrationUber2
|mod_groups                       = ElementalPenetration
|domain                           = 1
|generation_type                  = 1
|required_level                   = 82
|name                             = The Shaper's
|mod_type                         = ElementalPenetration
|stat_text                        = Damage Penetrates (8-10)% [[Elemental Resistance|Elemental Resistances]]
|stat1_id                         = reduce_enemy_elemental_resistance_%
|stat1_min                        = 8
|stat1_max                        = 10
|spawn_weight1_tag                = amulet_shaper
|spawn_weight1_value              = 0
|spawn_weight2_tag                = default
|spawn_weight2_value              = 0
|tags                             = elemental_damage, damage, elemental
|sell_price1_name                 = Alchemy Shard
|sell_price1_amount               = 2
}}
