{{Mod
|id                               = EnergyShieldOnHitJewel
|mod_groups                       = EnergyShieldGainPerTarget
|domain                           = 10
|generation_type                  = 2
|required_level                   = 1
|name                             = of Focus
|mod_type                         = EnergyShieldGainPerTargetForJewel
|stat_text                        = Gain (2-3) [[Energy Shield]] per Enemy [[Hit]] with [[Attack|Attacks]]
|stat1_id                         = energy_shield_gain_per_target
|stat1_min                        = 2
|stat1_max                        = 3
|spawn_weight1_tag                = not_int
|spawn_weight1_value              = 0
|spawn_weight2_tag                = default
|spawn_weight2_value              = 500
|tags                             = defences, energy_shield, attack
|sell_price1_name                 = Alteration Shard
|sell_price1_amount               = 3
}}
