{{Base item
|rarity_id                               = normal
|name                                    = Greater Eldritch Ember
|class_id                                = StackableCurrency
|size_x                                  = 1
|size_y                                  = 1
|drop_level                              = 73
|tags                                    = cleansing_fire_currency, eldritch_ember, currency, default
|metadata_id                             = Metadata/Items/Currency/CurrencyEldritchEmber2
|stack_size                              = 10
|description                             = Adds a Greater Searing Exarch implicit modifier to<br>a Body Armour, Boots, Gloves or Helmet<br>This replaces any existing implicit modifiers other than Eater of Worlds implicit modifiers
|help_text                               = Right click this item then left click a normal, magic or rare item to apply it. Cannot be used on Shaper, Elder or Elderslayer influenced items.<br>Shift click to unstack.
|stack_size_currency_tab                 = 5000
}}
