{{Passive skill
|id                                  = AscendancyCustomAssassin8
|int_id                              = 52296
|name                                = Fatal Bite
|ascendancy_class                    = Assassin
|is_notable                          = True
|icon                                = ChaosDamageOverTimeNotable
|stat1_id                            = chance_to_gain_power_charge_on_hitting_enemy_affected_by_spiders_web_%
|stat1_value                         = 20
|stat2_id                            = physical_damage_%_to_gain_as_chaos_while_at_maximum_power_charges
|stat2_value                         = 30
|stat_text                           = 20% chance to gain a [[Power Charge]] on hitting an Enemy affected by a Spider's Web<br>Gain 30% of [[Physical Damage]] as Extra [[Chaos Damage]] while at maximum [[Power Charge|Power Charges]]
}}
