{{Mod
|id                               = AbyssMinionAddedPhysicalDamageJewel5
|mod_groups                       = MinionAddedPhysicalDamage
|domain                           = 13
|generation_type                  = 1
|required_level                   = 72
|name                             = Tempered
|mod_type                         = MinionAddedPhysicalDamage
|stat_text                        = [[Minion|Minions]] deal (18-21) to (24-27) additional [[Physical Damage]]
|stat1_id                         = minion_global_minimum_added_physical_damage
|stat1_min                        = 18
|stat1_max                        = 21
|stat2_id                         = minion_global_maximum_added_physical_damage
|stat2_min                        = 24
|stat2_max                        = 27
|spawn_weight1_tag                = abyss_jewel_summoner
|spawn_weight1_value              = 350
|spawn_weight2_tag                = default
|spawn_weight2_value              = 0
|tags                             = physical_damage, damage, physical, minion
|sell_price1_name                 = Alteration Shard
|sell_price1_amount               = 1
}}
