{{Passive skill
|id                                  = AscendancyCustomAscendant52
|int_id                              = 39246
|name                                = Starforge
|ascendancy_class                    = Ascendant
|is_multiple_choice_option           = True
|icon                                = BluntInstrument
|stat1_id                            = physical_damage_can_shock
|stat1_value                         = 1
|stat2_id                            = attack_area_of_effect_+%
|stat2_value                         = 20
|stat_text                           = Your [[Physical Damage]] can [[Shock]]<br>20% increased Area of Effect for [[Attack|Attacks]]
}}
