{{Mod
|id                               = WeaponTreeSupportPointBlank2H
|mod_groups                       = WeaponTreeSupportPointBlank
|domain                           = 1
|generation_type                  = 31
|required_level                   = 38
|granted_skill                    = SupportPointBlank
|mod_type                         = WeaponTreeSupportPointBlank
|stat_text                        = [[Item socket|Socketed]] Gems are Supported by [[Point Blank Support|Level 10 Point Blank]]
|stat1_id                         = local_display_socketed_gems_supported_by_level_x_point_blank
|stat1_min                        = 10
|stat1_max                        = 10
|spawn_weight1_tag                = two_hand_weapon
|spawn_weight1_value              = 100
|spawn_weight2_tag                = default
|spawn_weight2_value              = 0
}}
