{{Mod
|id                               = SynthesisImplicitSupportGemQuality2
|mod_groups                       = SupportGemQuality
|domain                           = 1
|generation_type                  = 3
|required_level                   = 50
|mod_type                         = IncreaseSocketedSupportGemQuality
|stat_text                        = +(4-6)% to Quality of [[Item socket|Socketed]] Support Gems
|stat1_id                         = local_socketed_support_gem_quality_+
|stat1_min                        = 4
|stat1_max                        = 6
|tags                             = gem
|sell_price1_name                 = Alchemy Shard
|sell_price1_amount               = 1
}}
