{{Mod
|id                               = V2ArmourPenetrationJewelCorrupted
|mod_groups                       = ArmourPenetration
|domain                           = 10
|generation_type                  = 5
|required_level                   = 1
|mod_type                         = ChanceToIgnoreEnemyArmour
|stat_text                        = [[Hit|Hits]] have (10-15)% chance to ignore Enemy [[Physical Damage]] Reduction
|stat1_id                         = hits_ignore_enemy_monster_physical_damage_reduction_%_chance
|stat1_min                        = 10
|stat1_max                        = 15
|spawn_weight1_tag                = jewel
|spawn_weight1_value              = 1000
|spawn_weight2_tag                = default
|spawn_weight2_value              = 0
|tags                             = physical
|sell_price1_name                 = Alteration Shard
|sell_price1_amount               = 5
}}
