{{Mod
|id                               = FlaskBuffAvoidShock2_
|mod_groups                       = FlaskBuffWhileHealing
|domain                           = 2
|generation_type                  = 2
|required_level                   = 25
|name                             = of Turf Moss
|mod_type                         = FlaskBuffAvoidShock
|stat_text                        = (36-40)% chance to Avoid being [[Shock|Shocked]] during Effect
|stat1_id                         = local_avoid_shock_%_during_flask_effect
|stat1_min                        = 36
|stat1_max                        = 40
|spawn_weight1_tag                = utility_flask
|spawn_weight1_value              = 600
|spawn_weight2_tag                = default
|spawn_weight2_value              = 0
|tags                             = flask
|sell_price1_name                 = Alteration Shard
|sell_price1_amount               = 1
}}
