{{Passive skill
|id                                  = mine_criticals_notable2656
|int_id                              = 45608
|name                                = Successive Detonations
|is_notable                          = True
|icon                                = MineCriticalStrikesNotable
|stat1_id                            = critical_strike_chance_+%_per_mine_detonated_recently_up_to_100%
|stat1_value                         = 10
|stat2_id                            = critical_strike_multiplier_+_per_mine_detonated_recently_up_to_40
|stat2_value                         = 4
|stat_text                           = 10% increased [[Critical Strike Chance]] for each [[Mine]] Detonated<br />Recently, up to 100%<br>+4% to [[Critical Strike Multiplier]] for each [[Mine]] Detonated<br />Recently, up to 40%
|connections                         = mastery_mine174,mine_criticals2653,mine_criticals2654
}}
