{{Mod
|id                               = UtilityFlaskTaunt_
|domain                           = 2
|generation_type                  = 3
|required_level                   = 1
|mod_groups                       = UtilityFlaskTaunt
|mod_type                         = UtilityFlaskTaunt
|game_mode                        = 0
|stat_text                        = Taunts [[Nearby|nearby]] Enemies on use
|stat1_id                         = local_flask_taunt_enemies_on_use_radius
|stat1_min                        = 30
|stat1_max                        = 30
|tags                             = flask
}}
