{{Mod
|id                               = AddedPhysicalDamageUniqueBodyDex2
|mod_groups                       = DewathsHidePhysicalDamageDealt
|domain                           = 1
|generation_type                  = 3
|required_level                   = 1
|mod_type                         = DewathsHidePhysicalDamageDealt
|stat_text                        = Your [[Attack|Attacks]] deal -3 [[Physical Damage]]
|stat1_id                         = unique_dewaths_hide_physical_attack_damage_dealt_-
|stat1_min                        = 3
|stat1_max                        = 3
|tags                             = physical
|sell_price1_name                 = Alchemy Shard
|sell_price1_amount               = 1
}}
