{{Passive skill
|id                                  = AscendancyCustomNecromancer11_
|int_id                              = 15014
|name                                = Rotten Core
|ascendancy_class                    = Necromancer
|is_notable                          = True
|icon                                = VoodooShamanBloodMagic2 (VoodooShaman)
|stat1_id                            = added_chaos_damage_%_mana_cost_if_payable
|stat1_value                         = 40
|stat2_id                            = self_physical_damage_on_skill_use_%_mana_cost
|stat2_value                         = 100
|stat_text                           = [[Skill|Skills]] gain Added [[Chaos Damage]] equal to 40% of [[Mana]] Cost, if [[Mana]] Cost is not higher than the maximum you could spend<br>Your [[Skill|Skills]] deal you 100% of [[Mana]] Spent on Upfront [[Skill]] [[Mana]] Costs as [[Physical Damage]]
}}
