{{Mod
|id                               = FlaskVaalNoSoulPreventionUnique__1
|mod_groups                       = FlaskVaalNoSoulPrevention
|domain                           = 2
|generation_type                  = 3
|required_level                   = 1
|mod_type                         = FlaskVaalNoSoulPrevention
|stat_text                        = Vaal [[Skill|Skills]] used during effect do not apply Soul Gain Prevention
|stat1_id                         = local_unique_flask_vaal_skill_does_not_apply_soul_gain_prevention_during_flask_effect
|stat1_min                        = 1
|stat1_max                        = 1
|tags                             = flask, vaal
|sell_price1_name                 = Alchemy Shard
|sell_price1_amount               = 4
}}
