{{Mod
|id                               = StarterPassiveJewelUnique__10__
|domain                           = 10
|generation_type                  = 3
|required_level                   = 1
|mod_groups                       = StarterPassiveJewel
|mod_type                         = StarterPassiveJewel10
|game_mode                        = 0
|stat_text                        = While your [[Passive skill|Passive Skill]] Tree connects to the Ranger's starting location, you gain:<br />20% increased [[Flask]] [[Charge|Charges]] gained
|stat1_id                         = local_unique_jewel_flask_charges_gained_+%_with_passive_tree_connected_to_ranger_start
|stat1_min                        = 20
|stat1_max                        = 20
|tags                             = flask
|sell_price1_name                 = Alchemy Shard
|sell_price1_amount               = 2
}}
