{{Base item
|rarity_id                               = normal
|name                                    = Etched in Blood
|class_id                                = DivinationCard
|size_x                                  = 1
|size_y                                  = 1
|flavour_text                            = When you strive to write your name on the dense pages of History, someone else, inevitably, must be crossed out.
|drop_level                              = 58
|tags                                    = unique_divination, corrupted_divination, unique_corrupted_divination, divination_card, default
|metadata_id                             = Metadata/Items/DivinationCards/DivinationCardEtchedInBlood
|stack_size                              = 9
|description                             = {{c|unique|{{il|html=|Rigwald's Quills}}}}<br>{{c|corrupted|[[Two-Implicit]]}}<br>{{c|corrupted|[[Corrupted]]}}
|stack_size_currency_tab                 = 5000
|help_text                               = Shift click to unstack.
}}
