{{Mod
|id                               = SynthesisImplicitPhysicalTakenAsChaos1
|domain                           = 1
|generation_type                  = 3
|required_level                   = 56
|mod_groups                       = PhysicalDamageTakenAsChaos
|mod_type                         = PhysicalDamageTakenAsChaos
|game_mode                        = 0
|stat_text                        = (5-8)% of [[Physical Damage]] from [[Hit|Hits]] taken as [[Chaos Damage]]
|stat1_id                         = physical_damage_taken_%_as_chaos
|stat1_min                        = 5
|stat1_max                        = 8
|tags                             = physical, chaos
}}
