{{Passive skill
|id                                  = shield_damage_block2552
|int_id                              = 10851
|name                                = Shield Damage
|icon                                = ShieldAttackDamage
|stat1_id                            = physical_attack_damage_+%_while_holding_a_shield
|stat1_value                         = 12
|stat2_id                            = attack_ailment_damage_+%_while_holding_shield
|stat2_value                         = 12
|stat_text                           = 12% increased Physical [[Attack Damage]] while holding a [[Shield]]<br>[[Attack]] [[Skill|Skills]] deal 12% increased Damage with Ailments while holding a [[Shield]]
|connections                         = shield_damage_block2550,strength781,shield_damage_block2551
}}
