{{Passive skill
|id                                  = weapon_elemental_damage_notable2165
|int_id                              = 36281
|name                                = Primeval Force
|is_notable                          = True
|icon                                = WeaponElementalNotable
|stat1_id                            = elemental_damage_with_attack_skills_+%
|stat1_value                         = 25
|stat2_id                            = elemental_damage_+%_during_flask_effect
|stat2_value                         = 25
|stat_text                           = 25% increased [[Elemental Damage]] with [[Attack]] [[Skill|Skills]]<br>25% increased [[Elemental Damage]] during any Flask Effect
|connections                         = mastery_elemental96,weapon_elemental_damage2162,weapon_elemental_damage2176
}}
