{{Mod
|id                               = CurseAreaOfEffectUnique__1
|domain                           = 1
|generation_type                  = 3
|required_level                   = 1
|mod_groups                       = CurseAreaOfEffect
|mod_type                         = CurseAreaOfEffect
|game_mode                        = 0
|stat_text                        = 60% increased Area of Effect of Hex [[Skill|Skills]]
|stat1_id                         = curse_area_of_effect_+%
|stat1_min                        = 60
|stat1_max                        = 60
|tags                             = caster, curse
|sell_price1_name                 = Alchemy Shard
|sell_price1_amount               = 2
}}
