{{Mod
|id                               = MonsterAdditionalChain2
|mod_groups                       = Chain
|domain                           = 3
|generation_type                  = 3
|required_level                   = 1
|mod_type                         = AdditionalChain
|stat_text                        = [[Skill|Skills]] Chain +2 times (Hidden)
|stat1_id                         = number_of_chains
|stat1_min                        = 2
|stat1_max                        = 2
|sell_price1_name                 = Alchemy Shard
|sell_price1_amount               = 4
}}
