{{Passive skill
|id                                  = AscendancyChieftan10
|int_id                              = 48480
|name                                = Tasalio, Cleansing Water
|ascendancy_class                    = Chieftain
|is_notable                          = True
|icon                                = TasalioCleansingWater (Chieftain)
|stat1_id                            = modifiers_to_fire_resistance_also_apply_to_cold_lightning_resistance_at_%_value
|stat1_value                         = 50
|stat2_id                            = unaffected_by_ignite
|stat2_value                         = 1
|stat_text                           = Modifiers to [[Fire Resistance]] also apply to Cold and [[Lightning Resistance|Lightning Resistances]] at 50% of their Value<br>Unaffected by [[Ignite]]
|connections                         = AscendancyChieftan2,AscendancyChieftan2,AscendancyChieftan5
}}
