{{Mod
|id                               = ChanceToAvoidFreezeCorruption
|mod_groups                       = ChanceToAvoidFreezeAndChill
|domain                           = 1
|generation_type                  = 5
|required_level                   = 1
|mod_type                         = ChanceToAvoidFreezeAndChill
|stat_text                        = (10-20)% chance to Avoid being [[Freeze|Frozen]]
|stat1_id                         = base_avoid_freeze_%
|stat1_min                        = 10
|stat1_max                        = 20
|spawn_weight1_tag                = amulet
|spawn_weight1_value              = 0
|spawn_weight2_tag                = body_armour
|spawn_weight2_value              = 0
|spawn_weight3_tag                = ring
|spawn_weight3_value              = 0
|spawn_weight4_tag                = default
|spawn_weight4_value              = 0
|tags                             = elemental, cold, ailment
|sell_price1_name                 = Alchemy Shard
|sell_price1_amount               = 4
}}
