{{Mod
|id                               = MinionUnholyMightOnKillUniqueBodyInt9
|mod_groups                       = MinionUnholyMightOnKill
|domain                           = 1
|generation_type                  = 3
|required_level                   = 1
|mod_type                         = MinionUnholyMightOnKill
|stat_text                        = [[Minion|Minions]] gain Unholy Might for 10 seconds on [[Kill]]
|stat1_id                         = minion_unholy_might_on_kill_duration_ms
|stat1_min                        = 10000
|stat1_max                        = 10000
|tags                             = minion
|sell_price1_name                 = Alchemy Shard
|sell_price1_amount               = 6
}}
