{{Mod
|id                               = SupportedByEchoUniqueWand8
|domain                           = 1
|generation_type                  = 3
|required_level                   = 1
|mod_groups                       = DisplaySupportedByEcho
|granted_skill                    = SupportSpellEcho
|mod_type                         = DisplaySupportedByEchoLevel10Boolean
|game_mode                        = 0
|stat_text                        = [[Item socket|Socketed]] Gems are Supported by [[Spell Echo Support|Level 10 Spell Echo]]
|stat1_id                         = local_display_supported_by_level_10_spell_echo
|stat1_min                        = 1
|stat1_max                        = 1
|tags                             = support, gem
|sell_price1_name                 = Alchemy Shard
|sell_price1_amount               = 2
}}
