{{Mod
|id                               = BeltIncreasedFlaskChargedUsedUnique__2
|mod_groups                       = BeltFlaskCharges
|domain                           = 1
|generation_type                  = 3
|required_level                   = 1
|mod_type                         = BeltReducedFlaskChargesUsed
|stat_text                        = (10-7)% reduced Flask [[Charge|Charges]] used
|stat1_id                         = flask_charges_used_+%
|stat1_min                        = -10
|stat1_max                        = -7
|tags                             = flask
|sell_price1_name                 = Alteration Shard
|sell_price1_amount               = 1
}}
