{{Mod
|id                               = MinimumPowerChargeOnLowLifeUnique__1
|mod_groups                       = MinimumPowerCharges
|domain                           = 1
|generation_type                  = 3
|required_level                   = 1
|mod_type                         = MinimumPowerChargeOnLowLife
|stat_text                        = +3 to Minimum [[Power Charge|Power Charges]] while on [[Low Life]]
|stat1_id                         = minimum_power_charges_while_on_low_life_+
|stat1_min                        = 3
|stat1_max                        = 3
|tags                             = power_charge
|sell_price1_name                 = Alchemy Shard
|sell_price1_amount               = 2
}}
