{{Mod
|id                               = JunMaster2MinimumPowerCharges1
|mod_groups                       = MinimumPowerCharges
|domain                           = 9
|generation_type                  = 2
|required_level                   = 75
|name                             = of the Order
|mod_type                         = MinimumPowerCharges
|stat_text                        = +1 to Minimum [[Power Charge|Power Charges]]
|stat1_id                         = base_minimum_power_charges
|stat1_min                        = 1
|stat1_max                        = 1
|spawn_weight1_tag                = ring
|spawn_weight1_value              = 0
|spawn_weight2_tag                = amulet
|spawn_weight2_value              = 0
|spawn_weight3_tag                = default
|spawn_weight3_value              = 0
|tags                             = power_charge, unveiled_mod
|sell_price1_name                 = Alteration Shard
|sell_price1_amount               = 3
}}
