{{Passive skill
|id                                  = mana_mana_flask_notable2616
|int_id                              = 53802
|name                                = Essence Extraction
|is_notable                          = True
|icon                                = ManaFlasksOften
|stat1_id                            = mana_recovery_rate_+%_while_affected_by_a_mana_flask
|stat1_value                         = 15
|stat2_id                            = charges_gained_+%
|stat2_value                         = 25
|stat_text                           = 15% increased [[Mana]] Recovery Rate during Effect of any [[Mana]] Flask<br>25% increased Flask [[Charge|Charges]] gained
|connections                         = mastery_flask125,mana_mana_flask2615,mastery_flask125
}}
