{{Passive skill
|id                                  = atlas_cleansing_fire_2_4
|int_id                              = 37197
|name                                = Word of the Exarch
|is_notable                          = True
|is_atlas_passive                    = True
|icon                                = TheCleansingFire4 (AtlasTrees)
|stat1_id                            = map_cleansing_fire_influenced_packs_additional_flame_wraith_chance_%
|stat1_value                         = 2
|stat2_id                            = map_cleansing_fire_influenced_map_duplicate_primordial_currency_chance_%
|stat2_value                         = 10
|stat_text                           = Monster Packs Influenced by The Searing Exarch in your Maps have 2% chance to contain an additional Possessing Flame Wraith<br>Eldritch Embers found in your Maps influenced by The Searing Exarch have 10% chance to be Duplicated
}}
