{{Mod
|id                               = WarcryAreaOfEffectUnique__1
|mod_groups                       = AreaOfEffect
|domain                           = 1
|generation_type                  = 3
|required_level                   = 1
|mod_type                         = WarcryAreaOfEffect
|stat_text                        = Warcry [[Skill|Skills]] have (25-35)% increased Area of Effect
|stat1_id                         = warcry_skill_area_of_effect_+%
|stat1_min                        = 25
|stat1_max                        = 35
|sell_price1_name                 = Alchemy Shard
|sell_price1_amount               = 2
}}
