{{Base item
|rarity_id                               = normal
|name                                    = Hubris
|class_id                                = DivinationCard
|size_x                                  = 1
|size_y                                  = 1
|flavour_text                            = "This one? It is NOT for sale. You would sooner pry it from my lifeless hand."<br>- Jonfé Darontos, Ringmaker
|drop_level                              = 23
|tags                                    = jewellery_divination, unique_divination, unique_jewellery_divination, divination_card, default
|metadata_id                             = Metadata/Items/DivinationCards/DivinationCardHubris
|stack_size                              = 5
|description                             = {{c|unique|{{il|html=|Ring}}}}
|stack_size_currency_tab                 = 5000
|help_text                               = Shift click to unstack.
}}
