{{Mod
|id                               = RangedAttacksConsumeAmmoUniqueBelt__1
|mod_groups                       = RangedAttacksConsumeAmmo
|domain                           = 1
|generation_type                  = 3
|required_level                   = 1
|mod_type                         = RangedAttacksConsumeAmmo
|stat_text                        = [[Attack|Attacks]] that Fire Projectiles Consume up to 1 additional Steel Shard
|stat1_id                         = steel_ammo_consumed_per_use_with_attacks_that_fire_projectiles
|stat1_min                        = 1
|stat1_max                        = 1
|tags                             = attack
|sell_price1_name                 = Alchemy Shard
|sell_price1_amount               = 2
}}
