{{Passive skill
|id                                  = AscendancyAscendant42
|int_id                              = 39598
|name                                = Champion
|reminder_text                       = (You can only take one of the three Duelist Ascendancy passives)<br>(Take 1% less Damage from Hits per Fortification. Maximum 20 Fortification. Fortification lasts 6 seconds)<br>(Enemies you Taunt can only target you, and deal 10% less damage to anyone else. Taunt lasts for 3 seconds)<br>(Intimidated enemies take 10% increased Attack Damage)
|ascendancy_class                    = Ascendant
|is_multiple_choice_option           = True
|icon                                = Champion (Ascendants)
|stat1_id                            = permanently_intimidate_enemies_you_hit_on_full_life
|stat1_value                         = 1
|stat2_id                            = chance_to_taunt_on_hit_%
|stat2_value                         = 100
|stat3_id                            = taunted_enemies_damage_taken_+%
|stat3_value                         = 10
|stat4_id                            = chance_to_fortify_on_melee_hit_+%
|stat4_value                         = 50
|stat5_id                            = non_curse_aura_effect_+%
|stat5_value                         = 15
|stat_text                           = Your [[Hit|Hits]] permanently Intimidate Enemies that are on [[Full Life]]<br>100% chance to Taunt on [[Hit]]<br>Enemies Taunted by you take 10% increased Damage<br>Melee [[Hit|Hits]] have 50% chance to Fortify<br>15% increased effect of Non-Curse Auras from your [[Skill|Skills]]
|connections                         = AscendancyAscendant28
}}
