{{Mod
|id                               = VillageSpellCorrosionOnHitChance
|mod_groups                       = CorrosionOnHitChance
|domain                           = 1
|generation_type                  = 3
|required_level                   = 1
|mod_type                         = SpellCorrosionOnHitChance
|stat_text                        = (10-20)% chance to inflict Corrosion on [[Hit]] with [[Spell|Spells]]
|stat1_id                         = spells_corrosion_on_hit_%
|stat1_min                        = 10
|stat1_max                        = 20
|tags                             = village_runesmithing_enchant, caster
|sell_price1_name                 = Alchemy Shard
|sell_price1_amount               = 6
}}
