{{Passive skill
|id                                  = AscendancyCustomHeirophant18
|int_id                              = 49511
|name                                = Marination
|ascendancy_class                    = Hierophant
|is_notable                          = True
|icon                                = IncreasedMinionDamageNotable
|stat1_id                            = maximum_life_%_to_add_as_maximum_energy_shield
|stat1_value                         = 20
|stat2_id                            = minion_maximum_life_%_to_add_as_maximum_energy_shield
|stat2_value                         = 20
|stat_text                           = Gain 20% of Maximum [[Life]] as Extra Maximum [[Energy Shield]]<br>[[Minion|Minions]] gain 20% of Maximum [[Life]] as Extra Maximum [[Energy Shield]]
}}
